flight_id,flight_date,month,season,day_of_week,airline,aircraft_type,origin_airport,destination_airport,route,distance_km,scheduled_departure,departure_delay_min,arrival_delay_min,actual_elapsed_min,scheduled_duration_min,delay_cause,cancelled,passengers_onboard,ticket_price_gbp,satisfaction_score
FL10971,2023-01-01,1,Winter,Sunday,SkyWing Air,Boeing 737,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,08:00,20.0,12.0,156.0,135,Air Traffic Control,0,255.0,143.07,4.1
FL11731,2023-01-01,1,Winter,Sunday,SkyWing Air,Embraer E190,London Heathrow,Dubai,London Heathrow → Dubai,5490,11:20,0.0,7.0,428.0,415,On Time,0,331.0,423.59,4.7
FL14715,2023-01-01,1,Winter,Sunday,AeroSwift,Airbus A320,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,16:35,61.0,72.0,215.0,135,Crew Availability,0,,115.72,3.0
FL12874,2023-01-01,1,Winter,Sunday,PolarAir,Boeing 737,London Heathrow,Dubai,London Heathrow → Dubai,5490,11:30,0.0,14.0,437.0,415,On Time,0,266.0,374.32,3.9
FL13051,2023-01-01,1,Winter,Sunday,CloudJet,Airbus A320,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,10:10,,,,135,Security,1,163.0,69.27,2.1
FL12203,2023-01-01,1,Winter,Sunday,CloudJet,Embraer E190,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,14:15,71.0,71.0,209.0,135,Late Aircraft,0,295.0,125.36,2.6
FL12190,2023-01-01,1,Winter,Sunday,AeroSwift,Airbus A320,Glasgow,Dublin,Glasgow → Dublin,220,16:20,0.0,7.0,64.0,50,On Time,0,146.0,49.0,4.0
FL12441,2023-01-01,1,Winter,Sunday,CloudJet,Embraer E190,Bristol,Malaga,Bristol → Malaga,1620,05:15,10.0,21.0,167.0,145,Weather,0,75.0,132.03,3.3
FL13638,2023-01-02,1,Winter,Monday,NovaStar,Boeing 737,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,13:50,16.0,23.0,777.0,745,Air Traffic Control,0,152.0,525.97,4.2
FL11118,2023-01-02,1,Winter,Monday,SkyWing Air,Embraer E190,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,14:30,26.0,30.0,456.0,430,Weather,0,119.0,420.9,4.3
FL11443,2023-01-02,1,Winter,Monday,AeroSwift,Boeing 737,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,15:40,0.0,0.0,755.0,745,On Time,0,194.0,595.26,4.6
FL10531,2023-01-02,1,Winter,Monday,PolarAir,Airbus A320,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,14:10,,,,135,Late Aircraft,1,199.0,128.96,1.9
FL13154,2023-01-02,1,Winter,Monday,SkyWing Air,Airbus A380,Birmingham,Istanbul,Birmingham → Istanbul,2680,05:40,31.0,29.0,238.0,210,Late Aircraft,0,199.0,178.75,3.1
FL12172,2023-01-02,1,Winter,Monday,SkyWing Air,Airbus A380,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,21:55,2.0,17.0,97.0,85,Security,0,288.0,49.0,3.1
FL10201,2023-01-03,1,Winter,Tuesday,SkyWing Air,Boeing 737,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,19:35,10.0,6.0,422.0,420,Technical,0,343.0,411.54,4.2
FL11206,2023-01-03,1,Winter,Tuesday,PolarAir,Embraer E190,Bristol,Malaga,Bristol → Malaga,1620,14:10,63.0,57.0,205.0,145,Late Aircraft,0,271.0,168.27,2.8
FL11456,2023-01-03,1,Winter,Tuesday,Atlantic Wings,Boeing 737,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,17:15,15.0,25.0,770.0,745,Air Traffic Control,0,93.0,721.94,3.8
FL13440,2023-01-03,1,Winter,Tuesday,PolarAir,Boeing 737,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,18:50,59.0,74.0,214.0,135,Crew Availability,0,233.0,71.09,2.3
FL12976,2023-01-03,1,Winter,Tuesday,PolarAir,Boeing 737,Bristol,Malaga,Bristol → Malaga,1620,22:00,51.0,59.0,210.0,145,Crew Availability,0,343.0,137.57,2.2
FL11331,2023-01-03,1,Winter,Tuesday,NovaStar,Boeing 787,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,07:05,12.0,23.0,765.0,745,Technical,0,193.0,557.18,4.1
FL13166,2023-01-03,1,Winter,Tuesday,NovaStar,Airbus A320,Glasgow,Dublin,Glasgow → Dublin,220,08:10,0.0,0.0,52.0,50,On Time,0,410.0,49.0,4.3
FL14786,2023-01-03,1,Winter,Tuesday,NovaStar,Boeing 737,London Heathrow,Dubai,London Heathrow → Dubai,5490,10:35,0.0,6.0,422.0,415,On Time,0,257.0,277.08,4.3
FL12474,2023-01-04,1,Winter,Wednesday,Atlantic Wings,Embraer E190,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,06:15,9.0,7.0,145.0,135,Late Aircraft,0,208.0,152.88,3.4
FL14098,2023-01-04,1,Winter,Wednesday,SkyWing Air,Boeing 787,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,20:20,0.0,0.0,135.0,135,On Time,0,394.0,134.79,4.9
FL14454,2023-01-04,1,Winter,Wednesday,PolarAir,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,15:40,5.0,15.0,97.0,85,Late Aircraft,0,382.0,99.71,4.2
